Parameters,A0
start,2021-01-01 13:57:00
end,2021-11-23 21:53:00
duration,326 days 07:56:00
leverage,1
pl_ret,98.0609
bh_ret,865.641
daily_pl_ret,0.3005
max_drawdown,-40.62
avg_drawdown,-3.6024
avg_so,0.37
max_so,3
num_deals,546
avg_deal_duration,0.28
max_deal_duration,56.03
TP,0.7
bo_size,125
long,True
size_1st_so,125
so_qty,3
so_step,3
so_step_scale,1
so_vol_scale,1.5
EC,0.1
