open_time,Close,RMA
2021-01-01 00:00:00,746.11,746.11
2021-01-01 00:01:00,745.85,745.9786868686862
2021-01-01 00:02:00,745.14,745.6934580329204
2021-01-01 00:03:00,745.04,745.5251100888496
2021-01-01 00:04:00,744.6,745.3325376989804
2021-01-01 00:05:00,744.29,745.1498888829188
2021-01-01 00:06:00,744.45,745.0437441681535
2021-01-01 00:07:00,745.1,745.0512832958977
2021-01-01 00:08:00,744.15,744.9428596972208
2021-01-01 00:09:00,743.93,744.8321205905861
2021-01-01 00:10:00,744.15,744.7636581813563
2021-01-01 00:11:00,744.65,744.7530992393584
2021-01-01 00:12:00,743.93,744.6818283281456
2021-01-01 00:13:00,744.16,744.6394649217062
2021-01-01 00:14:00,744.35,744.6173202613289
2021-01-01 00:15:00,745.71,744.6964419645251
2021-01-01 00:16:00,746.99,744.8542493108365
2021-01-01 00:17:00,746.34,744.9517188335161
2021-01-01 00:18:00,746.45,745.0457235077969
2021-01-01 00:19:00,746.32,745.1223966156889
2021-01-01 00:20:00,746.27,745.1887811523031
2021-01-01 00:21:00,746.14,745.2417990545363
2021-01-01 00:22:00,745.76,745.2696853537927
2021-01-01 00:23:00,744.99,745.2551267363993
2021-01-01 00:24:00,745.38,745.2614249536313
2021-01-01 00:25:00,745.62,745.2789761548288
2021-01-01 00:26:00,745.35,745.2823547637444
2021-01-01 00:27:00,745.17,745.2771534411557
2021-01-01 00:28:00,745.65,745.2939716893326
2021-01-01 00:29:00,745.42,745.299517298254
2021-01-01 00:30:00,745.52,745.3089917582804
2021-01-01 00:31:00,744.36,745.2691279416977
2021-01-01 00:32:00,744.12,745.2218965040786
2021-01-01 00:33:00,742.52,745.1131382143645
2021-01-01 00:34:00,742.69,745.0175368373999
2021-01-01 00:35:00,742.52,744.9208804796743
2021-01-01 00:36:00,742.15,744.8156140912544
2021-01-01 00:37:00,742.49,744.7288248343602
2021-01-01 00:38:00,742.31,744.6400937795289
2021-01-01 00:39:00,742.65,744.5682880703522
2021-01-01 00:40:00,741.65,744.4646581846762
2021-01-01 00:41:00,740.66,744.3316163933318
2021-01-01 00:42:00,742.09,744.254387230714
2021-01-01 00:43:00,741.68,744.1669568817489
2021-01-01 00:44:00,741.57,744.079974446285
2021-01-01 00:45:00,742.41,744.0247850714408
2021-01-01 00:46:00,742.57,743.977326523523
2021-01-01 00:47:00,742.86,743.9413310245573
2021-01-01 00:48:00,742.78,743.9043694016145
2021-01-01 00:49:00,742.34,743.8551622671757
2021-01-01 00:50:00,743.05,743.8301227679314
2021-01-01 00:51:00,742.78,743.797823792349
2021-01-01 00:52:00,742.71,743.7647213280361
2021-01-01 00:53:00,742.89,743.7383783262082
2021-01-01 00:54:00,742.78,743.709804965001
2021-01-01 00:55:00,742.75,743.6814671845378
2021-01-01 00:56:00,741.58,743.6200077471565
2021-01-01 00:57:00,742.37,743.5837849778355
2021-01-01 00:58:00,743.0,743.5670185652673
2021-01-01 00:59:00,742.29,743.530659414337
2021-01-01 01:00:00,742.86,743.5117248749983
2021-01-01 01:01:00,742.58,743.4856345420554
2021-01-01 01:02:00,741.79,743.4385300080083
2021-01-01 01:03:00,740.6,743.3602847078658
2021-01-01 01:04:00,741.49,743.3091166143622
2021-01-01 01:05:00,741.66,743.2643289056056
2021-01-01 01:06:00,741.93,743.2283479656578
2021-01-01 01:07:00,741.65,743.1860813238504
2021-01-01 01:08:00,741.01,743.1282003345888
2021-01-01 01:09:00,740.34,743.0545239302879
2021-01-01 01:10:00,740.13,742.9777385591932
2021-01-01 01:11:00,741.18,742.930831144666
2021-01-01 01:12:00,741.21,742.8862023325605
2021-01-01 01:13:00,741.29,742.8450499173738
2021-01-01 01:14:00,742.6,742.8387684902563
2021-01-01 01:15:00,742.77,742.8370156044355
2021-01-01 01:16:00,742.26,742.8223879704501
2021-01-01 01:17:00,742.44,742.8127458345147
